Word,LFS,PLFS,RLP,HLT,WSA,OS,ODS,ExpectedGuesses
LINEY,0.529,0.373,0.0,0.158,0.553,1.0,0.445,4.058
DITCH,0.745,0.63,0.0,0.363,0.178,0.421,0.425,3.988
OMBUS,0.589,0.647,0.0,0.594,0.887,1.0,0.616,4.656
LLAMA,0.437,0.591,1.0,0.25,0.49,0.602,0.549,4.422
MANSO,0.393,0.453,0.0,0.101,0.467,1.0,0.401,3.904
LOOPS,0.447,0.346,1.0,0.691,0.89,0.184,0.578,4.523
HOUGH,0.781,0.588,1.0,0.575,0.883,0.657,0.751,5.128
TOMEN,0.503,0.401,0.0,0.041,0.359,1.0,0.396,3.886
NOOKY,0.645,0.486,1.0,0.902,0.9,1.0,0.804,5.314
KRAFT,0.628,0.615,0.0,0.913,0.232,0.481,0.493,4.226
SALEP,0.307,0.251,0.0,0.18,0.345,1.0,0.343,3.7
KAVAS,0.441,0.404,1.0,0.784,0.82,1.0,0.711,4.988
HOOGO,0.596,0.532,1.0,0.664,0.873,1.0,0.759,5.156
SAIRS,0.215,0.165,1.0,0.424,0.173,1.0,0.468,4.138
BOXLA,0.636,0.569,0.0,0.979,0.699,1.0,0.646,4.761
PENNA,0.446,0.452,1.0,0.843,0.372,0.678,0.613,4.646
MAILL,0.53,0.422,1.0,0.286,0.552,1.0,0.621,4.674
FUNIS,0.601,0.375,0.0,0.499,0.689,1.0,0.535,4.373
CONED,0.542,0.3,0.0,0.026,0.318,1.0,0.382,3.837
BOTOS,0.469,0.327,1.0,0.333,0.55,1.0,0.599,4.596
ILIUM,0.65,0.701,1.0,0.806,0.647,0.718,0.743,5.1
OKTAS,0.408,0.538,0.0,0.76,0.339,1.0,0.498,4.243
BUMPY,0.847,0.586,0.0,0.9,0.908,0.638,0.667,4.834
REIFS,0.408,0.375,0.0,0.705,0.342,1.0,0.465,4.128
BEVOR,0.578,0.601,0.0,0.571,0.499,0.866,0.525,4.338
DELTS,0.412,0.35,0.0,0.345,0.296,1.0,0.402,3.907
GHEES,0.375,0.327,1.0,0.124,0.756,1.0,0.575,4.512
HOKES,0.454,0.308,0.0,0.449,0.796,0.898,0.481,4.184
SEERS,0.101,0.252,1.0,0.074,0.299,0.696,0.373,3.806
YUANS,0.47,0.403,0.0,0.761,0.297,1.0,0.487,4.204
BASER,0.295,0.356,0.0,0.106,0.268,0.852,0.311,3.588
SORDS,0.335,0.179,1.0,0.352,0.229,1.0,0.498,4.243
FUNDY,0.821,0.544,0.0,0.737,0.774,0.686,0.616,4.656
GUBBA,0.726,0.696,1.0,0.961,0.758,1.0,0.844,5.454
SANTS,0.279,0.155,1.0,0.063,0.372,0.812,0.43,4.005
WEIRD,0.565,0.534,0.0,0.64,0.296,0.087,0.375,3.812
MANGO,0.576,0.461,0.0,0.155,0.645,0.46,0.402,3.907
POALO,0.453,0.392,1.0,0.416,0.307,1.0,0.58,4.53
TECTA,0.437,0.565,1.0,0.109,0.231,1.0,0.545,4.408
BEDYE,0.516,0.583,1.0,0.723,0.33,1.0,0.674,4.859
MURRE,0.505,0.443,1.0,0.487,0.219,1.0,0.599,4.596
GOBBY,0.808,0.589,1.0,0.948,0.996,1.0,0.882,5.587
SUAVE,0.391,0.404,0.0,0.628,0.034,0.675,0.359,3.756
PRAAM,0.451,0.474,1.0,0.66,0.334,1.0,0.633,4.716
DEEVS,0.386,0.414,1.0,0.837,0.628,1.0,0.678,4.873
PHOTY,0.722,0.505,0.0,0.572,0.521,1.0,0.57,4.495
MODES,0.407,0.238,0.0,0.228,0.667,0.071,0.282,3.487
APEAK,0.381,0.613,1.0,0.556,0.255,1.0,0.609,4.632
RETAM,0.398,0.544,0.0,0.097,0.228,1.0,0.38,3.83
WAUKS,0.571,0.393,0.0,0.944,0.654,1.0,0.591,4.568
ONCUS,0.54,0.622,0.0,0.314,0.42,1.0,0.488,4.208
FAYED,0.547,0.446,0.0,0.634,0.263,0.832,0.463,4.12
LAWER,0.438,0.447,0.0,0.427,0.285,0.848,0.411,3.938
FICHU,0.821,0.709,0.0,0.578,0.384,1.0,0.606,4.621
SQUIB,0.693,0.603,0.0,0.975,0.64,0.699,0.611,4.639
EMERG,0.448,0.728,1.0,0.246,0.455,0.674,0.577,4.52
SADIC,0.452,0.442,0.0,0.26,0.077,1.0,0.38,3.83
HUMOR,0.671,0.65,0.0,0.647,0.363,0.055,0.425,3.988
PLUTY,0.739,0.544,0.0,0.684,0.385,1.0,0.577,4.52
EMMET,0.464,0.624,1.0,0.363,0.393,0.664,0.573,4.506
YEXES,0.413,0.416,1.0,0.809,0.699,1.0,0.692,4.922
WADIS,0.489,0.397,0.0,0.315,0.546,1.0,0.461,4.114
FRACT,0.612,0.574,0.0,0.336,0.213,1.0,0.471,4.148
VERRE,0.407,0.486,1.0,0.094,0.238,0.699,0.479,4.176
REVUE,0.467,0.607,1.0,0.915,0.176,0.575,0.608,4.628
ENOLS,0.336,0.501,0.0,0.31,0.655,1.0,0.454,4.089
RIDES,0.358,0.317,0.0,0.111,0.24,0.155,0.213,3.246
YAPOK,0.615,0.634,0.0,0.803,0.755,1.0,0.633,4.716
SIDHA,0.46,0.55,0.0,0.621,0.464,1.0,0.51,4.285
UPTAK,0.648,0.73,0.0,0.789,0.353,1.0,0.593,4.576
VARIA,0.44,0.445,1.0,0.332,0.3,0.681,0.524,4.334
RIFTY,0.699,0.603,0.0,0.596,0.192,1.0,0.533,4.366
KNARL,0.551,0.631,0.0,0.959,0.295,1.0,0.57,4.495
PLAVS,0.53,0.393,0.0,0.894,0.461,1.0,0.545,4.408
UNLED,0.567,0.563,0.0,0.373,0.519,1.0,0.51,4.285
WAFER,0.524,0.484,0.0,0.533,0.32,0.547,0.414,3.949
SAUGH,0.538,0.432,0.0,0.786,0.547,1.0,0.549,4.422
TROOZ,0.601,0.589,1.0,0.836,0.235,1.0,0.699,4.946
STALE,0.264,0.432,0.0,0.037,0.182,0.598,0.253,3.386
CADIE,0.447,0.453,0.0,0.321,0.025,1.0,0.382,3.837
RAGED,0.449,0.402,0.0,0.229,0.143,0.677,0.33,3.655
EGADS,0.361,0.51,0.0,0.678,0.107,1.0,0.434,4.019
ZAYDE,0.572,0.626,0.0,0.91,0.145,1.0,0.545,4.408
STOCK,0.571,0.569,0.0,0.27,0.299,0.006,0.314,3.599
KOROS,0.438,0.306,1.0,0.517,0.451,1.0,0.601,4.604
RYALS,0.4,0.414,0.0,0.609,0.242,1.0,0.44,4.04
NONDA,0.511,0.517,1.0,0.09,0.673,1.0,0.62,4.67
JESSY,0.417,0.628,1.0,0.679,0.581,0.688,0.641,4.744
LAYIN,0.54,0.578,0.0,0.429,0.481,0.827,0.482,4.187
DOPES,0.406,0.27,0.0,0.298,0.689,1.0,0.44,4.04
YARKS,0.468,0.333,0.0,0.769,0.433,1.0,0.497,4.24
LUGES,0.467,0.361,0.0,0.555,0.642,1.0,0.5,4.25
ASHED,0.357,0.626,0.0,0.078,0.178,1.0,0.372,3.802
PYXIS,0.685,0.538,0.0,0.994,0.8,1.0,0.671,4.848
ONDOL,0.565,0.771,1.0,0.142,0.659,1.0,0.677,4.87
DATAL,0.429,0.476,1.0,0.087,0.335,1.0,0.542,4.397
FOOTS,0.489,0.298,1.0,0.35,0.538,0.737,0.561,4.464
RELIE,0.318,0.461,1.0,0.094,0.073,1.0,0.474,4.159
BRAVE,0.514,0.509,0.0,0.512,0.216,0.192,0.343,3.7
CHANA,0.513,0.528,1.0,0.612,0.386,0.692,0.611,4.639
POEMS,0.417,0.304,0.0,0.779,0.801,0.079,0.399,3.896
PEAZE,0.412,0.434,1.0,0.85,0.255,1.0,0.634,4.719
DUMPY,0.817,0.618,0.0,0.907,0.87,0.748,0.676,4.866
HERES,0.28,0.201,1.0,0.0,0.342,0.608,0.393,3.876
ACCAS,0.376,0.508,1.0,0.443,0.231,1.0,0.571,4.498
RUNUP,0.697,0.593,1.0,0.812,0.313,1.0,0.732,5.062
SURLY,0.541,0.362,0.0,0.645,0.216,0.671,0.419,3.966
OLONA,0.418,0.627,1.0,0.704,0.57,1.0,0.69,4.915
GLACE,0.496,0.544,0.0,0.523,0.204,0.674,0.416,3.956
PUTZA,0.69,0.603,0.0,0.984,0.345,1.0,0.612,4.642
BESIT,0.421,0.532,0.0,0.067,0.218,1.0,0.378,3.823
HOKEY,0.619,0.438,0.0,0.758,0.816,0.689,0.56,4.46
DUNCH,0.801,0.591,0.0,0.502,0.368,1.0,0.569,4.492
AINEE,0.247,0.334,1.0,0.119,0.089,1.0,0.443,4.05
GLEAN,0.455,0.582,0.0,0.244,0.371,0.686,0.396,3.886
EPENA,0.313,0.686,1.0,0.763,0.409,1.0,0.657,4.8
ZOLLE,0.555,0.515,1.0,0.673,0.433,1.0,0.682,4.887
CLEEP,0.466,0.473,1.0,0.429,0.292,1.0,0.596,4.586
SYNTH,0.616,0.513,0.0,0.592,0.366,0.532,0.454,4.089
WHETS,0.526,0.475,0.0,0.207,0.395,1.0,0.443,4.05
BIGOS,0.558,0.433,0.0,0.738,0.801,1.0,0.585,4.547
AGUEY,0.52,0.509,0.0,0.853,0.214,1.0,0.516,4.306
JEONS,0.452,0.403,0.0,0.516,0.643,1.0,0.497,4.24
CARDS,0.44,0.243,0.0,0.365,0.147,0.008,0.224,3.284
RISTS,0.33,0.414,1.0,0.07,0.183,1.0,0.483,4.19
ETNAS,0.275,0.474,0.0,0.904,0.239,1.0,0.461,4.114
BARRY,0.552,0.348,1.0,0.567,0.479,0.077,0.509,4.282
LUXES,0.519,0.402,0.0,0.956,0.642,1.0,0.58,4.53
RONIN,0.537,0.45,1.0,0.023,0.269,0.619,0.488,4.208
SNARS,0.245,0.307,1.0,0.868,0.27,1.0,0.578,4.523
WHOLE,0.594,0.592,0.0,0.368,0.445,0.012,0.361,3.764
CHALK,0.683,0.556,0.0,0.555,0.342,0.4,0.449,4.072
LILTS,0.48,0.382,1.0,0.379,0.395,1.0,0.593,4.576
KEEVE,0.414,0.571,1.0,0.472,0.42,1.0,0.623,4.68
WANED,0.515,0.345,0.0,0.09,0.236,0.691,0.333,3.665
IPPON,0.648,0.804,1.0,0.505,0.753,1.0,0.771,5.198
REDUG,0.59,0.651,0.0,0.41,0.34,1.0,0.508,4.278
LOIPE,0.47,0.457,0.0,0.72,0.286,1.0,0.487,4.204
COTTA,0.512,0.474,1.0,0.23,0.193,0.657,0.511,4.288
LIMNS,0.533,0.451,0.0,0.771,0.657,1.0,0.565,4.478
PERSE,0.265,0.402,1.0,0.081,0.161,0.695,0.417,3.96
PSORA,0.351,0.589,0.0,0.336,0.292,1.0,0.42,3.97
CLIPT,0.695,0.582,0.0,0.74,0.155,1.0,0.545,4.408
JIRRE,0.525,0.513,1.0,0.855,0.262,1.0,0.676,4.866
CHITI,0.69,0.568,1.0,0.079,0.189,1.0,0.598,4.593
MAUTS,0.462,0.294,0.0,0.479,0.308,1.0,0.428,3.998
KONKS,0.596,0.36,1.0,0.853,0.904,1.0,0.767,5.184
FEERS,0.305,0.375,1.0,0.23,0.361,1.0,0.521,4.324
PIRRI,0.558,0.467,1.0,0.653,0.406,1.0,0.668,4.838
SANDS,0.312,0.194,1.0,0.131,0.481,0.226,0.383,3.84
ZAPPY,0.75,0.616,1.0,0.966,0.901,1.0,0.86,5.51
REPEL,0.383,0.479,1.0,0.182,0.332,0.664,0.494,4.229
ROSIT,0.4,0.516,0.0,0.165,0.081,1.0,0.364,3.774
PUTID,0.707,0.532,0.0,0.479,0.375,1.0,0.535,4.373
GALES,0.326,0.176,0.0,0.094,0.359,0.67,0.276,3.466
JOBES,0.506,0.337,0.0,0.597,0.796,0.879,0.518,4.313
SOUSE,0.236,0.384,1.0,0.137,0.248,1.0,0.474,4.159
LOOKY,0.634,0.467,1.0,0.907,0.884,0.854,0.775,5.212
JEERA,0.341,0.585,1.0,0.348,0.306,1.0,0.571,4.498
VERGE,0.503,0.512,1.0,0.274,0.248,0.561,0.515,4.302
SEPPO,0.416,0.539,1.0,0.463,0.523,0.782,0.6,4.6
BOFFS,0.685,0.449,1.0,0.817,1.0,1.0,0.811,5.338
VACUA,0.572,0.618,1.0,0.756,0.373,0.861,0.684,4.894
BANJO,0.646,0.49,0.0,0.846,0.645,0.506,0.535,4.373
AYONT,0.515,0.605,0.0,0.16,0.144,1.0,0.415,3.952
AEGIS,0.306,0.412,0.0,0.837,0.13,0.568,0.369,3.792
MUSES,0.33,0.295,1.0,0.253,0.708,0.654,0.519,4.316
GAULT,0.599,0.503,0.0,0.774,0.303,0.688,0.49,4.215
BOEUF,0.623,0.511,0.0,0.971,0.721,0.774,0.602,4.607
SHOWN,0.609,0.553,0.0,0.659,0.761,0.015,0.45,4.075
SHULS,0.467,0.377,1.0,0.791,0.721,1.0,0.7,4.95
POLER,0.459,0.309,0.0,0.122,0.42,1.0,0.392,3.872
KNOUD,0.71,0.678,0.0,0.757,0.769,1.0,0.658,4.803
PAEDO,0.413,0.452,0.0,0.733,0.226,1.0,0.465,4.128
EKDAM,0.53,0.769,0.0,0.962,0.262,1.0,0.581,4.534
BOUKS,0.611,0.345,0.0,0.866,0.887,1.0,0.617,4.659
SPOOF,0.532,0.55,1.0,0.433,0.857,0.615,0.651,4.778
GUYSE,0.513,0.653,0.0,0.87,0.295,1.0,0.551,4.428
OUSEL,0.355,0.542,0.0,0.119,0.601,1.0,0.428,3.998
NEWER,0.437,0.527,1.0,0.172,0.396,0.14,0.444,4.054
BILAL,0.549,0.49,1.0,0.339,0.6,0.688,0.605,4.618
MOLED,0.526,0.324,0.0,0.217,0.619,1.0,0.456,4.096
BOLTS,0.517,0.276,0.0,0.588,0.51,0.272,0.376,3.816
LETTY,0.544,0.527,1.0,0.328,0.36,0.7,0.573,4.506
RIONE,0.404,0.473,0.0,0.039,0.146,1.0,0.35,3.725
COATS,0.391,0.221,0.0,0.266,0.142,0.243,0.229,3.302
AAHED,0.363,0.434,1.0,0.737,0.211,1.0,0.598,4.593
STEEL,0.253,0.411,1.0,0.068,0.384,0.02,0.346,3.711
STEIN,0.367,0.524,0.0,0.028,0.142,0.257,0.234,3.319
BIRRS,0.479,0.299,1.0,0.711,0.379,1.0,0.628,4.698
VAPED,0.561,0.464,0.0,0.489,0.263,1.0,0.473,4.156
HOVES,0.486,0.316,0.0,0.21,0.796,1.0,0.47,4.145
TAXIS,0.483,0.39,0.0,0.852,0.208,0.492,0.412,3.942
TIANS,0.378,0.305,0.0,0.085,0.077,1.0,0.315,3.602
PALLU,0.578,0.45,1.0,0.365,0.645,1.0,0.664,4.824
WIPES,0.488,0.367,0.0,0.385,0.669,0.568,0.42,3.97
CLECK,0.664,0.63,1.0,0.424,0.278,1.0,0.666,4.831
MIRRS,0.461,0.306,1.0,0.619,0.379,1.0,0.611,4.639
VALIS,0.465,0.341,0.0,0.206,0.49,0.813,0.394,3.879
IMPOT,0.641,0.799,0.0,0.525,0.352,1.0,0.562,4.467
MALES,0.308,0.144,0.0,0.029,0.359,0.115,0.174,3.109
ACHED,0.527,0.619,0.0,0.067,0.084,0.694,0.351,3.728
WROKE,0.571,0.585,0.0,0.847,0.305,1.0,0.553,4.436
PORTS,0.466,0.205,0.0,0.188,0.249,0.052,0.221,3.274
PULKS,0.639,0.376,0.0,0.948,0.796,1.0,0.628,4.698
LACEY,0.478,0.387,0.0,0.413,0.259,0.548,0.361,3.764
ILLTH,0.658,0.677,1.0,0.208,0.425,1.0,0.661,4.814
TITAR,0.457,0.53,1.0,0.027,0.127,1.0,0.517,4.31
BIOSE,0.371,0.472,0.0,0.376,0.26,1.0,0.409,3.932
GADID,0.618,0.527,1.0,0.504,0.627,1.0,0.703,4.96
HONKS,0.588,0.348,0.0,0.582,0.904,1.0,0.572,4.502
PLOMB,0.724,0.606,0.0,0.549,0.867,1.0,0.634,4.719
PUROS,0.492,0.3,0.0,0.474,0.321,1.0,0.437,4.03
GYROS,0.529,0.433,0.0,0.862,0.451,0.687,0.497,4.24
RHYMY,0.783,0.718,1.0,0.985,0.399,1.0,0.811,5.338
BIALI,0.528,0.474,1.0,0.371,0.259,1.0,0.598,4.593
GREAT,0.416,0.556,0.0,0.075,0.194,0.003,0.228,3.298
PEATY,0.474,0.373,0.0,0.201,0.237,1.0,0.39,3.865
SIZAR,0.444,0.519,0.0,0.803,0.2,1.0,0.489,4.212
ACETA,0.322,0.612,1.0,0.17,0.042,1.0,0.504,4.264
CLEMS,0.472,0.445,0.0,0.543,0.297,1.0,0.461,4.114
CUDDY,0.813,0.6,1.0,0.943,0.403,0.688,0.748,5.118
SITHE,0.416,0.471,0.0,0.005,0.165,1.0,0.35,3.725
CHELP,0.649,0.617,0.0,0.323,0.314,1.0,0.5,4.25
GERAH,0.474,0.458,0.0,0.392,0.313,1.0,0.443,4.05
MYSIE,0.446,0.611,0.0,0.696,0.262,1.0,0.497,4.24
BESAT,0.329,0.511,0.0,0.067,0.26,1.0,0.358,3.753
SAGAS,0.219,0.234,1.0,0.416,0.713,0.681,0.511,4.288
NAKFA,0.555,0.635,1.0,0.99,0.826,1.0,0.806,5.321
ZARFS,0.549,0.368,0.0,0.949,0.433,1.0,0.55,4.425
COBZA,0.682,0.595,0.0,0.989,0.403,1.0,0.619,4.666
FIXIT,0.779,0.663,1.0,0.904,0.352,0.698,0.737,5.079
POCHO,0.677,0.571,1.0,0.411,0.422,1.0,0.68,4.88
MAUND,0.624,0.466,0.0,0.354,0.612,1.0,0.521,4.324
DALTS,0.423,0.288,0.0,0.369,0.302,1.0,0.4,3.9
START,0.359,0.48,1.0,0.062,0.221,0.006,0.355,3.742
REOIL,0.393,0.496,0.0,0.44,0.231,1.0,0.423,3.98
FIORD,0.637,0.537,0.0,0.258,0.319,0.748,0.439,4.036
GOTCH,0.746,0.575,0.0,0.614,0.326,0.889,0.547,4.414
DOLED,0.515,0.35,1.0,0.243,0.619,0.786,0.578,4.523
LINTS,0.49,0.361,0.0,0.029,0.3,1.0,0.376,3.816
LIFES,0.439,0.376,0.0,0.333,0.603,0.662,0.406,3.921
NURTS,0.507,0.363,0.0,0.469,0.124,1.0,0.42,3.97
STAIN,0.378,0.47,0.0,0.047,0.055,0.285,0.223,3.28
VILLA,0.584,0.596,1.0,0.284,0.6,0.057,0.527,4.344
CURAT,0.555,0.444,0.0,0.241,0.076,1.0,0.403,3.91
DIACT,0.573,0.52,0.0,0.343,0.042,1.0,0.429,4.002
ORIBI,0.561,0.671,1.0,0.493,0.297,1.0,0.659,4.806
POUIS,0.503,0.292,0.0,0.367,0.781,1.0,0.492,4.222
WUFFS,0.785,0.596,1.0,0.996,0.912,1.0,0.872,5.552
LEGGO,0.573,0.663,1.0,0.814,0.558,0.857,0.727,5.044
NIVEL,0.583,0.559,0.0,0.332,0.553,0.667,0.462,4.117
NAROD,0.47,0.441,0.0,0.743,0.276,1.0,0.486,4.201
NAMUS,0.47,0.421,0.0,0.909,0.579,1.0,0.554,4.439
MUNJA,0.704,0.577,0.0,0.954,0.683,1.0,0.658,4.803
MANUL,0.588,0.459,0.0,0.366,0.574,1.0,0.507,4.274
FUNDO,0.727,0.591,0.0,0.524,0.767,0.876,0.595,4.582
THAWS,0.537,0.438,0.0,0.55,0.336,0.862,0.462,4.117
PLANE,0.436,0.457,0.0,0.134,0.227,0.056,0.24,3.34
COCOS,0.504,0.37,1.0,0.311,0.538,0.425,0.523,4.33
OUMAS,0.412,0.467,0.0,0.282,0.644,1.0,0.462,4.117
KHEDA,0.544,0.674,0.0,0.541,0.288,1.0,0.511,4.288
DRYER,0.512,0.566,1.0,0.594,0.284,0.179,0.521,4.324
SELLS,0.256,0.251,1.0,0.26,0.581,0.113,0.395,3.883
JUGAL,0.712,0.68,0.0,0.773,0.671,1.0,0.647,4.764
RAZED,0.494,0.44,0.0,0.801,0.143,0.69,0.435,4.022
ANNAL,0.412,0.575,1.0,0.734,0.541,0.735,0.641,4.744
PEALS,0.307,0.257,0.0,0.247,0.256,0.788,0.309,3.582
DUMKY,0.84,0.61,0.0,0.994,0.87,1.0,0.731,5.058
SHIOK,0.557,0.505,0.0,0.494,0.626,1.0,0.533,4.366
YAPPS,0.522,0.477,1.0,0.882,0.82,1.0,0.757,5.15
MACED,0.513,0.378,0.0,0.143,0.138,1.0,0.377,3.82
UNLEG,0.596,0.596,0.0,0.607,0.544,1.0,0.561,4.464
QUEER,0.489,0.506,1.0,0.482,0.423,0.368,0.539,4.386
NACHO,0.577,0.63,0.0,0.767,0.347,0.669,0.506,4.271
UPLIT,0.672,0.694,0.0,0.383,0.307,1.0,0.526,4.341
CATER,0.403,0.343,0.0,0.009,0.203,0.478,0.256,3.396
PINON,0.613,0.488,1.0,0.108,0.753,0.694,0.61,4.635
QUANT,0.667,0.579,0.0,0.361,0.157,0.656,0.43,4.005
RIDIC,0.631,0.628,1.0,0.238,0.184,1.0,0.615,4.652
TAUPE,0.457,0.467,0.0,0.62,0.047,0.64,0.38,3.83
MIHAS,0.471,0.441,0.0,0.745,0.595,1.0,0.535,4.373
TORUS,0.449,0.278,0.0,0.216,0.133,0.657,0.305,3.568
SAVOY,0.483,0.424,0.0,0.887,0.567,0.579,0.489,4.212
SODAS,0.254,0.248,1.0,0.376,0.549,0.679,0.491,4.218
REALO,0.301,0.474,0.0,0.038,0.033,1.0,0.307,3.574
SIALS,0.246,0.212,1.0,0.323,0.214,1.0,0.474,4.159
GADDI,0.618,0.589,1.0,0.645,0.627,1.0,0.734,5.069
ARSEY,0.277,0.46,0.0,0.265,0.062,1.0,0.337,3.68
ANDRO,0.47,0.712,0.0,0.153,0.269,0.694,0.392,3.872
AREDD,0.419,0.591,1.0,0.143,0.101,1.0,0.53,4.355
POAKA,0.457,0.398,1.0,0.89,0.39,1.0,0.666,4.831
BLAST,0.452,0.539,0.0,0.202,0.231,0.107,0.275,3.463
ORCIN,0.578,0.702,0.0,0.158,0.194,1.0,0.453,4.085
DIRTY,0.648,0.443,0.0,0.459,0.122,0.062,0.325,3.638
TWINE,0.574,0.56,0.0,0.256,0.156,0.667,0.389,3.862
LOINS,0.439,0.304,0.0,0.307,0.54,0.678,0.384,3.844
TESTY,0.425,0.514,1.0,0.046,0.366,0.693,0.499,4.246
INUST,0.519,0.757,0.0,0.16,0.142,1.0,0.439,4.036
GATER,0.416,0.377,0.0,0.038,0.232,1.0,0.351,3.728
RAXED,0.5,0.443,0.0,0.856,0.143,1.0,0.491,4.218
SLOYD,0.531,0.53,0.0,0.943,0.715,1.0,0.611,4.639
RIANT,0.465,0.479,0.0,0.064,0.045,1.0,0.354,3.739
LITAI,0.466,0.577,1.0,0.164,0.268,1.0,0.568,4.488
ACIDY,0.617,0.596,0.0,0.747,0.257,1.0,0.544,4.404
MUDGE,0.667,0.597,0.0,0.9,0.386,0.689,0.553,4.436
TYPED,0.622,0.57,0.0,0.593,0.321,0.272,0.419,3.966
STYLI,0.526,0.659,0.0,0.541,0.386,0.656,0.468,4.138
SOKOL,0.469,0.482,1.0,0.831,0.825,0.69,0.691,4.918
HANGS,0.52,0.335,0.0,0.228,0.745,0.437,0.392,3.872
PSOAE,0.259,0.51,0.0,0.934,0.122,1.0,0.45,4.075
LADOO,0.443,0.568,1.0,0.467,0.626,1.0,0.66,4.81
GLIME,0.583,0.574,0.0,0.548,0.364,1.0,0.519,4.316
SERRE,0.188,0.32,1.0,0.07,0.136,0.67,0.376,3.816
SAUNA,0.312,0.38,1.0,0.896,0.443,0.238,0.522,4.327
TAHRS,0.416,0.409,0.0,0.793,0.267,1.0,0.474,4.159
LOOIE,0.377,0.42,1.0,0.635,0.29,1.0,0.596,4.586
CELLA,0.432,0.494,1.0,0.192,0.258,0.695,0.504,4.264
KAURY,0.615,0.504,0.0,0.793,0.312,1.0,0.545,4.408
PYREX,0.669,0.441,0.0,0.839,0.442,0.64,0.522,4.327
VESPA,0.407,0.661,0.0,0.199,0.354,0.64,0.38,3.83
PAVIE,0.505,0.461,0.0,0.514,0.111,1.0,0.439,4.036
CLAWS,0.526,0.415,0.0,0.832,0.314,0.578,0.452,4.082
NEATO,0.345,0.5,0.0,0.025,0.048,0.691,0.276,3.466
FITCH,0.795,0.641,0.0,0.441,0.263,0.551,0.483,4.19
EMAIL,0.406,0.637,0.0,0.313,0.053,0.002,0.252,3.382
EMCEE,0.344,0.597,1.0,0.684,0.266,0.68,0.57,4.495
KEBOB,0.642,0.685,1.0,0.77,0.776,1.0,0.795,5.283
LOGES,0.391,0.283,0.0,0.311,0.73,1.0,0.446,4.061
INTIS,0.47,0.56,1.0,0.003,0.255,1.0,0.54,4.39
FANOS,0.433,0.294,0.0,0.314,0.599,1.0,0.439,4.036
WARNS,0.453,0.281,0.0,0.387,0.389,0.36,0.326,3.641
BAWDY,0.739,0.521,0.0,0.983,0.744,0.694,0.626,4.691
BELCH,0.669,0.544,0.0,0.549,0.282,0.698,0.478,4.173
CRONE,0.475,0.495,0.0,0.168,0.246,0.686,0.358,3.753
AMARO,0.358,0.593,1.0,0.138,0.138,0.699,0.475,4.162
SKIDS,0.462,0.377,1.0,0.848,0.626,0.674,0.644,4.754
PYUFF,0.907,0.708,1.0,0.992,0.892,1.0,0.916,5.706
SPROD,0.498,0.479,0.0,0.413,0.229,1.0,0.443,4.05
LUTED,0.559,0.476,0.0,0.286,0.304,1.0,0.45,4.075
SHULE,0.463,0.496,0.0,0.652,0.246,1.0,0.475,4.162
LOTIC,0.602,0.548,0.0,0.126,0.136,1.0,0.422,3.977
DOOLE,0.432,0.421,1.0,0.403,0.338,1.0,0.582,4.537
PLECK,0.657,0.611,0.0,0.368,0.279,1.0,0.503,4.26
SNEAD,0.307,0.481,0.0,0.449,0.178,0.692,0.347,3.714
MAKOS,0.451,0.373,0.0,0.824,0.674,1.0,0.543,4.4
RAINE,0.339,0.384,0.0,0.074,0.052,0.655,0.26,3.41
MARON,0.481,0.395,0.0,0.03,0.315,0.696,0.336,3.676
JEFFS,0.66,0.584,1.0,0.948,0.704,0.695,0.755,5.142
MOWED,0.615,0.421,0.0,0.377,0.709,0.684,0.482,4.187
YAULD,0.614,0.557,0.0,0.825,0.629,1.0,0.605,4.618
EVENS,0.361,0.541,1.0,0.211,0.66,0.687,0.555,4.442
PRIVY,0.756,0.533,0.0,0.878,0.382,0.632,0.553,4.436
PRUNO,0.621,0.585,0.0,0.511,0.286,1.0,0.513,4.296
DADDY,0.655,0.53,1.0,0.827,0.719,0.109,0.642,4.747
DOWAR,0.549,0.549,0.0,0.396,0.357,1.0,0.483,4.19
AKKER,0.485,0.605,1.0,0.92,0.136,1.0,0.67,4.845
GULPS,0.635,0.437,0.0,0.92,0.796,0.877,0.613,4.646
UMMAH,0.684,0.75,1.0,0.848,0.766,0.692,0.779,5.226
RAPHE,0.454,0.54,0.0,0.349,0.217,0.818,0.402,3.907
KASME,0.376,0.544,0.0,0.678,0.255,1.0,0.466,4.131
DOMED,0.561,0.407,1.0,0.183,0.709,0.664,0.585,4.547
MEEJA,0.419,0.558,1.0,0.863,0.409,1.0,0.679,4.876
FLORE,0.499,0.559,0.0,0.254,0.234,0.694,0.386,3.851
CITAL,0.538,0.528,0.0,0.158,0.098,1.0,0.402,3.907
GLENS,0.449,0.445,0.0,0.357,0.581,0.659,0.419,3.966
BRAWL,0.626,0.567,0.0,0.939,0.286,0.651,0.523,4.33
GLIFF,0.831,0.665,1.0,0.791,0.745,1.0,0.838,5.433
ADMAN,0.483,0.671,1.0,0.396,0.608,1.0,0.672,4.852
PYRAL,0.564,0.516,0.0,0.78,0.436,1.0,0.551,4.428
TOLLS,0.452,0.304,1.0,0.302,0.489,0.606,0.518,4.313
IVIES,0.434,0.403,1.0,0.29,0.647,1.0,0.609,4.632
VEUVE,0.598,0.624,1.0,0.899,0.357,0.698,0.686,4.901
